State,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,State
KY,0.0,1966.0,3.5,79.0,114.5,,0.0,,,0.0,0.0,46.0,66.72,116.78,KY
LA,0.0,1999.0,3.5,41.0,73.0,,0.0,,,0.0,0.0,16.0,78.46,89.79,LA
MA,0.03361344537815126,1980.198113207547,3.9637931034482743,77.45378151260505,114.7983193277311,,0.04201680672268908,1.0,1.0,0.0,0.025210084033613446,9.0,82.87999999999995,112.38999999999987,MA
MD,0.12280701754385964,1974.8846153846155,3.9946428571428574,73.52631578947368,112.40350877192982,,0.017543859649122806,1.0,1.0,0.0,0.03508771929824561,13.854545454545455,81.13727272727266,127.79054545454537,MD
ME,0.0,1994.0,4.2,17.0,23.0,,1.0,,,0.0,0.0,,,,ME
MI,0.1111111111111111,1978.75,4.038888888888889,78.61111111111111,116.55555555555556,,0.0,,1.0,0.0,0.0,54.0,63.850000000000016,78.58,MI
MN,0.21428571428571427,1991.0,3.8857142857142852,84.71428571428571,127.78571428571429,,0.0,1.0,1.0,0.0,0.0,18.0,76.70000000000002,127.18000000000005,MN
MO,0.04,1965.0416666666667,4.119999999999999,75.44,122.68,,0.04,,1.0,0.0,0.0,36.714285714285715,70.39666666666665,128.30619047619047,MO
MS,0.0,1996.0,3.4,73.5,108.0,,0.0,,,0.0,0.0,,,,MS
NC,0.0743801652892562,1972.8369565217392,3.752380952380954,56.50413223140496,92.31404958677686,,0.01652892561983471,1.0,1.0,0.0,0.0743801652892562,32.04385964912281,72.01228070175426,144.44061403508806,NC
ND,0.0,1998.0,3.8,105.0,117.0,,0.0,,,0.0,0.0,,,,ND
NE,0.16666666666666666,1928.0,3.575,87.33333333333333,127.5,,0.0,,,0.0,0.0,,,,NE
NH,0.0,2003.0,4.1,49.0,88.0,,0.0,,1.0,0.0,0.0,,,,NH
NJ,0.14754098360655737,1960.7816091954023,3.6824884792626733,69.00621118012423,108.30434782608695,82.36144578313252,0.004098360655737705,1.0,1.0,0.004098360655737705,0.11065573770491803,3.142857142857143,96.2214285714286,100.04107142857136,NJ
NM,0.0,1995.0,4.4,108.0,140.0,,0.0,,,0.0,0.0,,,,NM
NV,0.0,1993.0,3.9,108.0,140.0,,0.0,,,0.0,0.0,,,,NV
NY,0.04435299497027892,1977.884662576687,3.8010526315789437,79.5303550973654,118.91065292096219,85.78861788617886,0.0,0.2375886524822695,0.6798029556650246,0.017324350336862367,0.03801732435033686,1.5426029962546817,99.20554307116117,99.95422752808999,NY
OH,0.06787330316742081,1943.5028901734104,3.805263157894735,62.68325791855204,111.15384615384616,,0.004524886877828055,1.0,1.0,0.01809954751131222,0.06787330316742081,37.705882352941174,70.15254901960782,141.76372549019547,OH
OK,0.0,2002.6666666666667,3.433333333333333,59.0,92.0,,0.0,1.0,,0.0,0.0,53.0,64.28,117.97,OK
OR,0.1,1976.5,3.988888888888889,64.9,104.9,,0.0,,1.0,0.0,0.0,15.0,78.63,112.81999999999996,OR
PA,0.10303830911492734,1963.9688644688645,3.7034433285509314,66.12062256809338,114.63229571984436,81.96502057613169,0.0,1.0,1.0,0.015852047556142668,0.06340819022457067,13.318302387267904,78.72901856763785,100.71488063660544,PA
RI,0.0,1967.2,3.6199999999999997,76.6,125.4,,0.0,,1.0,0.0,0.0,,,,RI
SC,0.0,1960.0,3.4285714285714284,57.0,85.0,,0.0,1.0,1.0,0.0,0.0,,,,SC
SD,1.0,,,62.0,101.0,,0.0,,,0.0,0.0,,,,SD
TN,0.05263157894736842,1953.6842105263158,3.757894736842105,80.05263157894737,123.47368421052632,,0.05263157894736842,1.0,1.0,0.0,0.15789473684210525,30.0,73.19,122.66999999999999,TN
TX,0.10747091243110839,1975.2990577632117,3.742501681237393,63.57492795389049,108.10854947166186,66.06852791878173,0.004592774035517453,1.0,1.0,0.02113323124042879,0.0768759571209801,44.078125,66.87392156862732,141.9692034313733,TX
UT,0.05392156862745098,1986.121212121212,3.8823129251700714,42.42553191489362,67.63829787234043,,0.0,0.004132231404958678,0.2894736842105263,0.01715686274509804,0.12990196078431374,51.0,64.75999999999951,129.34999999999908,UT
VA,0.09313725490196079,1981.5508982035929,3.8814432989690726,69.27450980392157,111.12745098039215,,0.014705882352941176,1.0,1.0,0.004901960784313725,0.05392156862745098,9.904109589041095,85.62972602739708,128.4335616438356,VA
VT,0.0,2016.0,4.8,82.0,141.0,,0.0,,,0.0,0.0,,,,VT
WA,0.015367727771679473,1987.3783783783783,3.7841216216216114,60.76767676767677,100.21,,0.0010976948408342481,0.04405286343612335,0.35039370078740156,0.0011737089201877935,0.01643192488262911,8.816234498308907,85.02344983088996,136.1129988726017,WA
WI,0.0,1942.357142857143,3.8266666666666667,93.6,128.93333333333334,,0.0,,1.0,0.06666666666666667,0.0,52.0,64.67,124.30999999999999,WI
WV,0.0,1996.0,4.0,108.0,140.0,,0.0,,,0.0,1.0,,,,WV
WY,0.0,,4.1,51.0,92.0,,0.0,,,0.0,0.0,,,,WY
