City,Remote,Founded,Rating,SalaryMin,SalaryMax,Salary Estimate,Hourly,Junior,Senior,part-time,temp,Rank,Cost of Living Index,Local Purchasing Power Index,City
Birmingham,0.0,2003.25,3.7428571428571433,81.375,124.375,,0.0,,1.0,0.0,0.0,,,,Birmingham
Blacklick,1.0,1803.0,3.9,55.0,113.0,,0.0,1.0,,0.0,0.0,37.0,70.5,142.17,Blacklick
Bloomfield,0.0,1976.0,3.5,57.0,75.0,,0.0,,,0.0,0.0,1.0,100.0,100.0,Bloomfield
Bloomingdale,0.0,,4.3,,,86.5,0.0,,,0.0,0.0,11.0,80.18,113.52,Bloomingdale
Bloomington,0.0,1985.0,4.3,105.0,117.0,,0.0,,1.0,0.0,0.0,18.0,76.7,127.18,Bloomington
Blue Ash,0.0,,3.0,106.0,143.0,,0.0,1.0,,0.0,0.0,55.0,61.64,131.81,Blue Ash
Blue Bell,0.0,1928.0,2.92,53.333333333333336,95.66666666666667,72.0,0.0,,1.0,0.0,0.0,13.0,78.84,100.23,Blue Bell
Bluffdale,0.0,,,,,,0.0,0.0,0.0,1.0,1.0,51.0,64.76,129.35,Bluffdale
Boca Raton,0.0,1948.0,3.8200000000000003,45.666666666666664,80.33333333333333,,0.0,0.0,0.0,0.0,0.0,24.0,74.16000000000001,100.26,Boca Raton
Boerne,1.0,,,,,50.0,0.0,,,0.0,0.0,48.0,65.78,116.4,Boerne
Bohemia,0.0,,,,,,0.0,,,0.0,0.0,1.0,100.0,100.0,Bohemia
Boise,0.0,1992.5,3.9000000000000004,86.33333333333333,142.33333333333334,,0.0,1.0,,0.0,0.0,56.0,60.71,99.05,Boise
Bolingbrook,0.0,1992.0,2.9,,,58.5,0.0,,,0.0,0.0,11.0,80.18,113.52,Bolingbrook
Bonita Springs,0.0,,,,,,0.0,,,,,,,,Bonita Springs
Boothwyn,0.0,1983.3333333333333,3.5666666666666664,76.33333333333333,132.0,,0.0,,1.0,0.0,0.0,13.0,78.84,100.23,Boothwyn
Boston,0.05714285714285714,1974.0689655172414,4.064516129032259,74.02941176470588,113.76470588235294,,0.05714285714285714,1.0,1.0,0.0,0.02857142857142857,9.0,82.88000000000007,112.38999999999997,Boston
Bothell,0.0,1998.3333333333333,3.775,83.0,137.0,,0.0,0.0,0.6666666666666666,0.0,0.0,8.0,85.77,133.43000000000004,Bothell
Boulder,0.06666666666666667,2002.0,3.8461538461538463,66.33333333333333,95.33333333333333,,0.0,0.02702702702702703,0.38461538461538464,0.0,0.011111111111111112,29.0,73.30000000000011,130.32999999999996,Boulder
Bountiful,0.0,,3.3,,,,0.0,,,0.0,0.0,51.0,64.76,129.35,Bountiful
Bradenton,0.0,,3.9,,,,0.0,0.0,0.14285714285714285,0.0,0.0,45.0,67.10000000000001,126.19000000000004,Bradenton
Brea,0.1111111111111111,1980.2857142857142,3.566666666666666,68.25,100.5,95.8,0.0,,1.0,0.0,0.0,19.0,76.55,113.78,Brea
Brentwood,0.0,1942.3333333333333,3.4666666666666663,85.0,126.33333333333333,,0.0,,1.0,0.0,0.6666666666666666,30.0,73.19,122.67,Brentwood
Brewster,0.0,,,,,,0.0,,,0.0,0.0,1.0,100.0,100.0,Brewster
Bridgeport,0.0,1996.0,4.0,108.0,140.0,,0.0,,,0.0,1.0,,,,Bridgeport
Bridgeview,0.0,,3.3,55.5,110.0,,0.0,,,0.0,0.0,11.0,80.18,113.52,Bridgeview
Bridgewater,0.0,1998.0,3.1,17.0,23.0,,1.0,,1.0,0.0,0.0,1.0,100.0,100.0,Bridgewater
Brisbane,0.0,1998.0,2.65,48.0,89.0,,0.0,,,0.0,0.0,2.0,91.51,135.9,Brisbane
Bristol,0.0,1971.0,3.4,58.5,113.5,108.5,0.0,,,0.0,0.0,13.0,78.84,100.23,Bristol
Broadview,0.0,1914.3333333333333,3.733333333333333,60.0,66.0,87.0,0.0,,,0.0,0.0,11.0,80.18,113.52,Broadview
Bronx,0.0,1992.0,3.4,44.5,87.0,,0.0,,1.0,0.0,0.0,1.0,100.0,100.0,Bronx
Brookfield,0.0,1924.0,4.5,86.0,143.0,,0.0,,,1.0,0.0,,,,Brookfield
Brooklyn,0.02040816326530612,1970.375,3.7516129032258068,66.2,107.1,72.85714285714286,0.0,0.0,0.8,0.0,0.0425531914893617,5.0,88.82000000000005,92.94999999999993,Brooklyn
Broomfield,0.023255813953488372,1939.375,3.6357142857142852,69.22222222222223,109.55555555555556,,0.0,0.0,0.55,0.0,0.0,29.0,73.30000000000004,130.32999999999996,Broomfield
Buckhead,0.5,,3.1500000000000004,72.5,124.5,,0.0,,1.0,0.0,0.0,26.0,73.89,140.47,Buckhead
Buckley AFB,0.0,,3.9,,,,0.0,,,0.0,0.0,29.0,73.3,130.33,Buckley AFB
Buena Park,0.0,1959.0,3.2,,,81.5,0.0,,1.0,0.0,0.0,19.0,76.55,113.78,Buena Park
Buffalo,0.14285714285714285,2005.0,3.6833333333333336,73.0,128.0,,0.0,0.5,0.0,0.0,0.14285714285714285,25.0,73.92,107.04999999999998,Buffalo
Bulverde,0.0,1981.0,3.6,74.5,114.0,,0.0,,,0.0,0.0,48.0,65.78,116.4,Bulverde
